id,name,description,sequence,report_id/id
mis_report_subkpi_opening,Saldo_inicial,Saldo inicial,10,l10n_mx_account_reports.mis_report_trial_balance
mis_report_subkpi_debits,Debitos_del_periodo,Débitos del periodo,20,l10n_mx_account_reports.mis_report_trial_balance
mis_report_subkpi_credits,Creditos_del_periodo,Créditos del periodo,30,l10n_mx_account_reports.mis_report_trial_balance
mis_report_subkpi_closing,Saldo_Final,Saldo final,40,l10n_mx_account_reports.mis_report_trial_balance
mis_subkpi_ar_mv_0_30,d_0_30,0-30 days,1,l10n_mx_account_reports.mis_report_aged_receivable_by_move
mis_subkpi_ar_mv_31_60,d_31_60,31-60 days,2,l10n_mx_account_reports.mis_report_aged_receivable_by_move
mis_subkpi_ar_mv_61_90,d_61_90,61-90 days,3,l10n_mx_account_reports.mis_report_aged_receivable_by_move
mis_subkpi_ar_mv_90_plus,d_90_plus,90+ days,4,l10n_mx_account_reports.mis_report_aged_receivable_by_move
mis_subkpi_ar_dd_not_due,not_due,Not yet due,1,l10n_mx_account_reports.mis_report_aged_receivable_by_due
mis_subkpi_ar_dd_1_30,d_1_30,1-30 days,2,l10n_mx_account_reports.mis_report_aged_receivable_by_due
mis_subkpi_ar_dd_31_60,d_31_60,31-60 days,3,l10n_mx_account_reports.mis_report_aged_receivable_by_due
mis_subkpi_ar_dd_61_90,d_61_90,61-90 days,4,l10n_mx_account_reports.mis_report_aged_receivable_by_due
mis_subkpi_ar_dd_90_plus,d_90_plus,90+ days,5,l10n_mx_account_reports.mis_report_aged_receivable_by_due
mis_subkpi_ap_mv_0_30,d_0_30,0-30 days,1,l10n_mx_account_reports.mis_report_aged_payable_by_move
mis_subkpi_ap_mv_31_60,d_31_60,31-60 days,2,l10n_mx_account_reports.mis_report_aged_payable_by_move
mis_subkpi_ap_mv_61_90,d_61_90,61-90 days,3,l10n_mx_account_reports.mis_report_aged_payable_by_move
mis_subkpi_ap_mv_90_plus,d_90_plus,90+ days,4,l10n_mx_account_reports.mis_report_aged_payable_by_move
mis_subkpi_ap_dd_not_due,not_due,Not yet due,1,l10n_mx_account_reports.mis_report_aged_payable_by_due
mis_subkpi_ap_dd_1_30,d_1_30,1-30 days,2,l10n_mx_account_reports.mis_report_aged_payable_by_due
mis_subkpi_ap_dd_31_60,d_31_60,31-60 days,3,l10n_mx_account_reports.mis_report_aged_payable_by_due
mis_subkpi_ap_dd_61_90,d_61_90,61-90 days,4,l10n_mx_account_reports.mis_report_aged_payable_by_due
mis_subkpi_ap_dd_90_plus,d_90_plus,90+ days,5,l10n_mx_account_reports.mis_report_aged_payable_by_due
mis_subkpi_diot_iva_16,iva_16,IVA 16%,1,l10n_mx_account_reports.mis_report_diot
mis_subkpi_diot_iva_8_n,iva_8_n,IVA 8% N.,2,l10n_mx_account_reports.mis_report_diot
mis_subkpi_diot_iva_8_s,iva_8_s,IVA 8% S.,3,l10n_mx_account_reports.mis_report_diot
mis_subkpi_diot_iva_16_nc,iva_16_nc,IVA 16% no acreditable,4,l10n_mx_account_reports.mis_report_diot
mis_subkpi_diot_iva_16_imp,iva_16_imp,IVA 16% importacion,5,l10n_mx_account_reports.mis_report_diot
mis_subkpi_diot_iva_16_imp_int,iva_16_imp_int,IVA 16% importacion intangibles,6,l10n_mx_account_reports.mis_report_diot
mis_subkpi_diot_base_0,base_0,Base 0%,7,l10n_mx_account_reports.mis_report_diot
mis_subkpi_diot_base_total,base_total,Total base,8,l10n_mx_account_reports.mis_report_diot
