id,code,name,description,symbol
c_clave_unidad_18,18,Tambor de cincuenta y cinco galones (EUA),,
c_clave_unidad_19,19,Camión cisterna,,
c_clave_unidad_26,26,Tonelada real,,
c_clave_unidad_29,29,Libra por mil pies cuadrados,,Lb / kft²
c_clave_unidad_30,30,Día de potencia de caballos por tonelada métrica de aire seco,,
c_clave_unidad_31,31,Pescar,,
c_clave_unidad_32,32,Kilogramo por tonelada métrica seca del aire,,
c_clave_unidad_36,36,Pie cúbico por minuto por pie cuadrado,Se requiere factor de conversión,Ft³ / (min / ft²)
c_clave_unidad_44,44,Bolsa a granel de quinientos kilos,,
c_clave_unidad_45,45,Bolsa a granel de trescientos kilos,,
c_clave_unidad_46,46,Bolsa a granel de cincuenta libras,,
c_clave_unidad_47,47,Bolso de cincuenta libras,,
c_clave_unidad_48,48,Carga masiva,,
c_clave_unidad_53,53,Kilogramo teórico,,
c_clave_unidad_54,54,Tonelada teórica (UK),,
c_clave_unidad_62,62,Por ciento por 1000 horas,,
c_clave_unidad_63,63,Tasa de fracaso en el tiempo,,
c_clave_unidad_64,64,"Libra por pulgada cuadrada, calibre",,
c_clave_unidad_66,66,Oersted,,Oe
c_clave_unidad_69,69,Escala específica de prueba,,
c_clave_unidad_71,71,Voltios amperios por libra,,
c_clave_unidad_72,72,Vatio por libra,,
c_clave_unidad_73,73,Amperios por centímetro,,
c_clave_unidad_76,76,Gauss,,Gs
c_clave_unidad_78,78,Kilogauss,,Ks
c_clave_unidad_84,84,Kilopound-force por pulgada cuadrada,"Unidad de presión que define el número de kilopounds fuerza por pulgada cuadrada. 

Utilice kip por pulgada cuadrada (código común N20).",Klbf / in²
c_clave_unidad_90,90,Saybold segundo universal,,
c_clave_unidad_92,92,Calorías por centímetro cúbico,,
c_clave_unidad_93,93,Calorías por gramo,Utilice calorías de la tabla internacional (IT) por gramo (código común D75).,Cal / g
c_clave_unidad_94,94,Unidad de curl,,
c_clave_unidad_95,95,Veinte mil galones,,
c_clave_unidad_96,96,Diez mil galones (US),,
c_clave_unidad_97,97,Diez kilos de tambor,,
c_clave_unidad_98,98,Quince kilos de tambor,,
c_clave_unidad_05,05,Ascensor,,
c_clave_unidad_06,06,Pequeño aerosol,,
c_clave_unidad_08,08,Montón de calor,,
c_clave_unidad_10,10,Grupos,Una unidad de conteo que define el número de grupos (grupo: conjunto de elementos clasificados juntos).,
c_clave_unidad_11,11,Equipos, Unidad de recuento que define el número de equipos (equipo: un conjunto completo de equipo / materiales / objetos utilizados para un propósito específico).,
c_clave_unidad_13,13,Raciones,Una unidad de recuento para definir el número de raciones (ración: una sola porción de las disposiciones).,
c_clave_unidad_14,14,Shot,Unidad de medida para liquidos.,
c_clave_unidad_15,15,"Palo, medida militar.",Unidad para el momento de rotación relacionado con la longitud según el sistema de unidades Anglo-Americanas e Imperial.,
c_clave_unidad_16,16,Tambor de 115 kilogramos,,
c_clave_unidad_17,17,Tambor de cien libras,,
c_clave_unidad_1A,1A,Milla de carros,,
c_clave_unidad_1B,1B,Recuento de automóviles,,
c_clave_unidad_1C,1C,Conteo de locomotoras,,
c_clave_unidad_1D,1D,Caboose count,,
c_clave_unidad_1E,1E,Coche vacío,,
c_clave_unidad_1F,1F,Milla de tren,,
c_clave_unidad_1G,1G,Galón del uso del combustible (los EUA),,
c_clave_unidad_1H,1H,Milla de caboose,,
