id,code,state_code,municipality_code,locality_code
c_codigo_postal_20000,20000,AGU,001,01
c_codigo_postal_20001,20001,AGU,,
c_codigo_postal_20002,20002,AGU,,
c_codigo_postal_20003,20003,AGU,,
c_codigo_postal_20004,20004,AGU,,
c_codigo_postal_20005,20005,AGU,,
c_codigo_postal_20006,20006,AGU,,
c_codigo_postal_20007,20007,AGU,,
c_codigo_postal_20008,20008,AGU,,
c_codigo_postal_20009,20009,AGU,,
c_codigo_postal_20010,20010,AGU,001,01
c_codigo_postal_20011,20011,AGU,,
c_codigo_postal_20012,20012,AGU,,
c_codigo_postal_20013,20013,AGU,,
c_codigo_postal_20014,20014,AGU,,
c_codigo_postal_20015,20015,AGU,,
c_codigo_postal_20016,20016,AGU,001,01
c_codigo_postal_20017,20017,AGU,,
c_codigo_postal_20018,20018,AGU,001,01
c_codigo_postal_20019,20019,AGU,,
c_codigo_postal_20020,20020,AGU,001,01
c_codigo_postal_20021,20021,AGU,,
c_codigo_postal_20022,20022,AGU,,
c_codigo_postal_20023,20023,AGU,,
c_codigo_postal_20024,20024,AGU,,
c_codigo_postal_20025,20025,AGU,,
c_codigo_postal_20026,20026,AGU,,
c_codigo_postal_20027,20027,AGU,,
c_codigo_postal_20028,20028,AGU,,
c_codigo_postal_20029,20029,AGU,001,01
c_codigo_postal_20030,20030,AGU,001,01
c_codigo_postal_20031,20031,AGU,,
c_codigo_postal_20032,20032,AGU,,
c_codigo_postal_20033,20033,AGU,,
c_codigo_postal_20034,20034,AGU,,
c_codigo_postal_20035,20035,AGU,,
c_codigo_postal_20036,20036,AGU,,
c_codigo_postal_20037,20037,AGU,,
c_codigo_postal_20038,20038,AGU,,
c_codigo_postal_20039,20039,AGU,,
c_codigo_postal_20040,20040,AGU,001,01
c_codigo_postal_20041,20041,AGU,,
c_codigo_postal_20042,20042,AGU,,
c_codigo_postal_20043,20043,AGU,,
c_codigo_postal_20044,20044,AGU,,
c_codigo_postal_20045,20045,AGU,,
c_codigo_postal_20046,20046,AGU,,
c_codigo_postal_20047,20047,AGU,,
c_codigo_postal_20048,20048,AGU,,
c_codigo_postal_20049,20049,AGU,001,01
c_codigo_postal_20050,20050,AGU,001,01
c_codigo_postal_20051,20051,AGU,,
c_codigo_postal_20052,20052,AGU,,
c_codigo_postal_20053,20053,AGU,,
c_codigo_postal_20054,20054,AGU,,
c_codigo_postal_20055,20055,AGU,,
c_codigo_postal_20056,20056,AGU,,
c_codigo_postal_20057,20057,AGU,,
c_codigo_postal_20058,20058,AGU,,
c_codigo_postal_20059,20059,AGU,001,01
c_codigo_postal_20060,20060,AGU,001,01
c_codigo_postal_20061,20061,AGU,,
c_codigo_postal_20062,20062,AGU,,
c_codigo_postal_20063,20063,AGU,,
c_codigo_postal_20064,20064,AGU,001,01
c_codigo_postal_20065,20065,AGU,,
c_codigo_postal_20066,20066,AGU,,
c_codigo_postal_20067,20067,AGU,,
c_codigo_postal_20068,20068,AGU,,
c_codigo_postal_20069,20069,AGU,,
c_codigo_postal_20070,20070,AGU,001,01
c_codigo_postal_20071,20071,AGU,,
c_codigo_postal_20072,20072,AGU,,
c_codigo_postal_20073,20073,AGU,,
c_codigo_postal_20074,20074,AGU,,
c_codigo_postal_20075,20075,AGU,,
c_codigo_postal_20076,20076,AGU,,
c_codigo_postal_20077,20077,AGU,,
c_codigo_postal_20078,20078,AGU,001,01
c_codigo_postal_20079,20079,AGU,,
c_codigo_postal_20080,20080,AGU,001,01
c_codigo_postal_20081,20081,AGU,,
c_codigo_postal_20082,20082,AGU,,
c_codigo_postal_20083,20083,AGU,,
c_codigo_postal_20084,20084,AGU,,
c_codigo_postal_20085,20085,AGU,,
c_codigo_postal_20086,20086,AGU,,
c_codigo_postal_20087,20087,AGU,,
c_codigo_postal_20088,20088,AGU,,
c_codigo_postal_20089,20089,AGU,001,01
c_codigo_postal_20090,20090,AGU,,
c_codigo_postal_20091,20091,AGU,,
c_codigo_postal_20092,20092,AGU,,
c_codigo_postal_20093,20093,AGU,,
c_codigo_postal_20094,20094,AGU,,
c_codigo_postal_20095,20095,AGU,,
c_codigo_postal_20096,20096,AGU,,
c_codigo_postal_20097,20097,AGU,,
c_codigo_postal_20098,20098,AGU,,
c_codigo_postal_20099,20099,AGU,,
c_codigo_postal_20100,20100,AGU,001,01
c_codigo_postal_20101,20101,AGU,,
c_codigo_postal_20102,20102,AGU,,
c_codigo_postal_20103,20103,AGU,,
c_codigo_postal_20104,20104,AGU,,
c_codigo_postal_20105,20105,AGU,,
c_codigo_postal_20106,20106,AGU,,
c_codigo_postal_20107,20107,AGU,,
c_codigo_postal_20108,20108,AGU,,
c_codigo_postal_20109,20109,AGU,,
c_codigo_postal_20110,20110,AGU,001,01
c_codigo_postal_20111,20111,AGU,,
c_codigo_postal_20112,20112,AGU,,
c_codigo_postal_20113,20113,AGU,,
c_codigo_postal_20114,20114,AGU,,
c_codigo_postal_20115,20115,AGU,001,01
c_codigo_postal_20116,20116,AGU,001,01
c_codigo_postal_20117,20117,AGU,001,01
c_codigo_postal_20118,20118,AGU,001,01
c_codigo_postal_20119,20119,AGU,001,01
c_codigo_postal_20120,20120,AGU,001,01
c_codigo_postal_20121,20121,AGU,,
c_codigo_postal_20122,20122,AGU,,
c_codigo_postal_20123,20123,AGU,001,01
c_codigo_postal_20124,20124,AGU,001,01
c_codigo_postal_20125,20125,AGU,,
c_codigo_postal_20126,20126,AGU,001,
c_codigo_postal_20127,20127,AGU,001,01
c_codigo_postal_20128,20128,AGU,001,
c_codigo_postal_20129,20129,AGU,001,01
c_codigo_postal_20130,20130,AGU,001,01
c_codigo_postal_20131,20131,AGU,,
c_codigo_postal_20132,20132,AGU,,
c_codigo_postal_20133,20133,AGU,,
c_codigo_postal_20134,20134,AGU,,
c_codigo_postal_20135,20135,AGU,001,01
c_codigo_postal_20136,20136,AGU,001,01
c_codigo_postal_20137,20137,AGU,001,01
c_codigo_postal_20138,20138,AGU,001,01
c_codigo_postal_20139,20139,AGU,,
c_codigo_postal_20140,20140,AGU,001,01
c_codigo_postal_20141,20141,AGU,,
c_codigo_postal_20142,20142,AGU,,
c_codigo_postal_20143,20143,AGU,,
c_codigo_postal_20144,20144,AGU,,
c_codigo_postal_20145,20145,AGU,,
c_codigo_postal_20146,20146,AGU,001,01
c_codigo_postal_20147,20147,AGU,,
c_codigo_postal_20148,20148,AGU,,
c_codigo_postal_20149,20149,AGU,001,01
c_codigo_postal_20150,20150,AGU,001,01
c_codigo_postal_20151,20151,AGU,,
c_codigo_postal_20152,20152,AGU,,
c_codigo_postal_20153,20153,AGU,,
c_codigo_postal_20154,20154,AGU,,
c_codigo_postal_20155,20155,AGU,,
c_codigo_postal_20156,20156,AGU,,
c_codigo_postal_20157,20157,AGU,001,01
c_codigo_postal_20158,20158,AGU,001,01
c_codigo_postal_20159,20159,AGU,001,01
c_codigo_postal_20160,20160,AGU,001,01
c_codigo_postal_20161,20161,AGU,,
c_codigo_postal_20162,20162,AGU,,
c_codigo_postal_20163,20163,AGU,,
c_codigo_postal_20164,20164,AGU,001,01
c_codigo_postal_20165,20165,AGU,,
c_codigo_postal_20166,20166,AGU,,
c_codigo_postal_20167,20167,AGU,,
c_codigo_postal_20168,20168,AGU,,
c_codigo_postal_20169,20169,AGU,001,01
c_codigo_postal_20170,20170,AGU,001,01
c_codigo_postal_20171,20171,AGU,,
c_codigo_postal_20172,20172,AGU,001,01
c_codigo_postal_20173,20173,AGU,,
c_codigo_postal_20174,20174,AGU,001,01
c_codigo_postal_20175,20175,AGU,001,01
c_codigo_postal_20176,20176,AGU,,
c_codigo_postal_20177,20177,AGU,001,01
c_codigo_postal_20178,20178,AGU,,
c_codigo_postal_20179,20179,AGU,001,01
c_codigo_postal_20180,20180,AGU,001,01
c_codigo_postal_20181,20181,AGU,,
c_codigo_postal_20182,20182,AGU,,
c_codigo_postal_20183,20183,AGU,,
c_codigo_postal_20184,20184,AGU,,
c_codigo_postal_20185,20185,AGU,,
c_codigo_postal_20186,20186,AGU,,
c_codigo_postal_20187,20187,AGU,,
c_codigo_postal_20188,20188,AGU,,
c_codigo_postal_20189,20189,AGU,,
c_codigo_postal_20190,20190,AGU,001,01
c_codigo_postal_20191,20191,AGU,,
c_codigo_postal_20192,20192,AGU,,
c_codigo_postal_20193,20193,AGU,,
c_codigo_postal_20194,20194,AGU,,
c_codigo_postal_20195,20195,AGU,,
c_codigo_postal_20196,20196,AGU,001,01
c_codigo_postal_20197,20197,AGU,,
c_codigo_postal_20198,20198,AGU,001,01
c_codigo_postal_20199,20199,AGU,001,01
c_codigo_postal_20200,20200,AGU,001,01
c_codigo_postal_20201,20201,AGU,,
c_codigo_postal_20202,20202,AGU,,
c_codigo_postal_20203,20203,AGU,,
c_codigo_postal_20204,20204,AGU,,
c_codigo_postal_20205,20205,AGU,001,01
c_codigo_postal_20206,20206,AGU,001,01
c_codigo_postal_20207,20207,AGU,001,01
c_codigo_postal_20208,20208,AGU,001,01
c_codigo_postal_20209,20209,AGU,,
c_codigo_postal_20210,20210,AGU,001,01
c_codigo_postal_20211,20211,AGU,,
c_codigo_postal_20212,20212,AGU,,
c_codigo_postal_20213,20213,AGU,,
c_codigo_postal_20214,20214,AGU,,
