id,code,name,city,state,active
c_aduana_010,010,"ACAPULCO, ACAPULCO DE JUAREZ, GUERRERO.",Acapulco de Juarez,Guerrero,True
c_aduana_01,01,Aeropuerto Internacional General Juan N. Alvarez,Acapulco,Guerrero,True
c_aduana_020,020,"AGUA PRIETA, AGUA PRIETA, SONORA.",Agua Prieta,Sonora,True
c_aduana_012,012,Aeropuerto Internacional General Juan N. Alvarez,Acapulco,Guerrero,True
c_aduana_050,050,"SUBTENIENTE LOPEZ, SUBTENIENTE LOPEZ, QUINTANA ROO.",Subteniente Lopez,Quintana Roo,True
c_aduana_051,051,"SUBTENIENTE LOPEZ II âCHACTEMALâ, OTHÃN P. BLANCO, CHETUMAL, QUINTANA ROO.",Subteniente Lopez,Quintana Roo,True
c_aduana_060,060,"CIUDAD DEL CARMEN, CIUDAD DEL CARMEN, CAMPECHE.",Ciudad del Carmen,Campeche,True
c_aduana_063,063,"SEYBAPLAYA, CHAMPOTON, CAMPECHE.",ChampotÃ³n,Campeche,True
c_aduana_070,070,"CIUDAD JUAREZ, CIUDAD JUAREZ, CHIHUAHUA.",Ciudad Juarez,Chihuahua,True
c_aduana_071,071,"PUENTE INTERNACIONAL ZARAGOZA-ISLETA, CIUDAD JUAREZ, CHIHUAHUA.",Ciudad Juarez,Chihuahua,True
c_aduana_072,072,"SAN JERONIMO-SANTA TERESA, CIUDAD JUAREZ, CHIHUAHUA.",Ciudad Juarez,Chihuahua,True
c_aduana_073,073,"AEROPUERTO INTERNACIONAL ABRAHAM GONZALEZ, CIUDAD JUAREZ, CHIHUAHUA.",Ciudad Juarez,Chihuahua,True
c_aduana_074,074,"GUADALUPE-TORNILLO, GUADALUPE DE BRAVO, CHIHUAHUA.",Guadalupe de Bravo,Chihuahua,True
c_aduana_080,080,"COATZACOALCOS, COATZACOALCOS, VERACRUZ.",Coatzacoalcos,Veracruz,True
c_aduana_110,110,"ENSENADA, ENSENADA, BAJA CALIFORNIA.",Ensenada,Baja California,True
c_aduana_120,120,"GUAYMAS, GUAYMAS, SONORA.",Guaymas,Sonora,True
c_aduana_121,121,"AEROPUERTO INTERNACIONAL GENERAL IGNACIO PESQUEIRA GARCIA, HERMOSILLO, SONORA.",Hermosillo,Sonora,True
c_aduana_123,123,"CIUDAD OBREGON ADYACENTE AL AEROPUERTO DE CIUDAD OBREGON, CAJEME, SONORA.",Ciudad Obregon,Sonora,True
c_aduana_140,140,"LA PAZ, LA PAZ, BAJA CALIFORNIA SUR.",La Paz,Baja California Sur,True
c_aduana_142,142,"SAN JOSE DEL CABO, LOS CABOS, BAJA CALIFORNIA SUR.",San Jose del Cabo,Baja California Sur,True
c_aduana_143,143,"CABO SAN LUCAS, LOS CABOS, BAJA CALIFORNIA SUR.",Cabo San Lucas,Baja California Sur,True
c_aduana_144,144,"SANTA ROSALIA, MULEGE, BAJA CALIFORNIA SUR.",Santa Rosalia,Baja California Sur,True
c_aduana_145,145,"LORETO, LORETO, BAJA CALIFORNIA SUR.",Loreto,Baja California Sur,True
c_aduana_147,147,"PICHILINGÃE, LA PAZ, BAJA CALIFORNIA SUR.",La Paz,Baja California Sur,True
c_aduana_160,160,"MANZANILLO, MANZANILLO, COLIMA.",Manzanillo,Colima,True
c_aduana_161,161,"ARMERÃA, ARMERÃA, COLIMA.",ArmerÃ­a,Colima,True
c_aduana_170,170,"MATAMOROS, MATAMOROS, TAMAULIPAS.",Matamoros,Tamaulipas,True
c_aduana_171,171,"LUCIO BLANCO-LOS INDIOS, MATAMOROS, TAMAULIPAS.",Matamoros,Tamaulipas,True
c_aduana_172,172,SECCION ADUANERA FERROVIARIA DE MATAMOROS.,Matamoros,Tamaulipas,True
c_aduana_17,17,"PUERTO EL MEZQUITAL, MATAMOROS, TAMAULIPAS.",Matamoros,Tamaulipas,True
c_aduana_17_airport,17,"AEROPUERTO INTERNACIONAL GENERAL SERVANDO CANALES, MATAMOROS, TAMAULIPAS.",Matamoros,Tamaulipas,True
c_aduana_180,180,"MAZATLAN, MAZATLAN, SINALOA.",MazatlÃ¡n,Sinaloa,True
c_aduana_183,183,"TOPOLOBAMPO, AHOME, SINALOA.",Topolobampo,Ahome,True
c_aduana_184,184,"AEROPUERTO INTERNACIONAL DE CULIACAN, CULIACAN, SINALOA.",Culiacan,Sinaloa,True
c_aduana_190,190,"MEXICALI, MEXICALI, BAJA CALIFORNIA.",Mexicali,Baja California,True
c_aduana_192,192,"LOS ALGODONES, MEXICALI, BAJA CALIFORNIA.",Los Algodones,Mexicali,True
c_aduana_193,193,"SAN FELIPE, MEXICALI, BAJA CALIFORNIA.",San Felipe,Mexicali,True
c_aduana_200,200,"MÃXICO, CIUDAD DE MÃXICO.",Ciudad de MÃ©xico,,True
