id,code,name,date_start,date_end
c_tipopercepcion_001,001,"Sueldos, Salarios  Rayas y Jornales",2016-11-01,
c_tipopercepcion_002,002,Gratificación Anual (Aguinaldo),2016-11-01,
c_tipopercepcion_003,003,Participación de los Trabajadores en las Utilidades PTU,2016-11-01,
c_tipopercepcion_004,004,Reembolso de Gastos Médicos Dentales y Hospitalarios,2016-11-01,
c_tipopercepcion_005,005,Fondo de Ahorro,2016-11-01,
c_tipopercepcion_006,006,Caja de ahorro,2016-11-01,
c_tipopercepcion_009,009,Contribuciones a Cargo del Trabajador Pagadas por el Patrón,2016-11-01,
c_tipopercepcion_010,010,Premios por puntualidad,2016-11-01,
c_tipopercepcion_011,011,Prima de Seguro de vida,2016-11-01,
c_tipopercepcion_012,012,Seguro de Gastos Médicos Mayores,2016-11-01,
c_tipopercepcion_013,013,Cuotas Sindicales Pagadas por el Patrón,2016-11-01,
c_tipopercepcion_014,014,Subsidios por incapacidad,2016-11-01,
c_tipopercepcion_015,015,Becas para trabajadores y/o hijos,2016-11-01,
c_tipopercepcion_019,019,Horas extra,2016-11-01,
c_tipopercepcion_020,020,Prima dominical,2016-11-01,
c_tipopercepcion_021,021,Prima vacacional,2016-11-01,
c_tipopercepcion_022,022,Prima por antigüedad,2016-11-01,
c_tipopercepcion_023,023,Pagos por separación,2016-11-01,
c_tipopercepcion_024,024,Seguro de retiro,2016-11-01,
c_tipopercepcion_025,025,Indemnizaciones,2016-11-01,
c_tipopercepcion_026,026,Reembolso por funeral,2016-11-01,
c_tipopercepcion_027,027,Cuotas de seguridad social pagadas por el patrón,2016-11-01,
c_tipopercepcion_028,028,Comisiones,2016-11-01,
c_tipopercepcion_029,029,Vales de despensa,2016-11-01,
c_tipopercepcion_030,030,Vales de restaurante,2016-11-01,
c_tipopercepcion_031,031,Vales de gasolina,2016-11-01,
c_tipopercepcion_032,032,Vales de ropa,2016-11-01,
c_tipopercepcion_033,033,Ayuda para renta,2016-11-01,
c_tipopercepcion_034,034,Ayuda para artículos escolares,2016-11-01,
c_tipopercepcion_035,035,Ayuda para anteojos,2016-11-01,
c_tipopercepcion_036,036,Ayuda para transporte,2016-11-01,
c_tipopercepcion_037,037,Ayuda para gastos de funeral,2016-11-01,
c_tipopercepcion_038,038,Otros ingresos por salarios,2016-11-01,
c_tipopercepcion_039,039,"Jubilaciones, pensiones o haberes de retiro",2016-11-01,
c_tipopercepcion_044,044,"Jubilaciones, pensiones o haberes de retiro en parcialidades",2016-11-01,
c_tipopercepcion_045,045,Ingresos en acciones o títulos valor que representan bienes,2016-11-01,
c_tipopercepcion_046,046,Ingresos asimilados a salarios,2016-11-01,
c_tipopercepcion_047,047,Alimentación diferentes a los establecidos en el Art 94 penúltimo párrafo LISR,2016-11-01,
c_tipopercepcion_048,048,Habitación,2016-11-01,
c_tipopercepcion_049,049,Premios por asistencia,2016-11-01,
c_tipopercepcion_050,050,Viáticos,2017-01-06,
c_tipopercepcion_051,051,"Pagos por gratificaciones, primas, compensaciones, recompensas u otros a extrabajadores derivados de jubilación en parcialidades",2018-10-15,
c_tipopercepcion_052,052,Pagos que se realicen a extrabajadores que obtengan una jubilación en parcialidades derivados de la ejecución de resoluciones judicial o de un laudo,2018-10-15,
c_tipopercepcion_053,053,Pagos que se realicen a extrabajadores que obtengan una jubilación en una sola exhibición derivados de la ejecución de resoluciones judicial o de un laudo,2018-10-15,
c_tipopercepcion_054,054,Días de descanso laborados,2026-01-01,
c_tipopercepcion_055,055,Días de descanso obligatorios laborados,2026-01-01,
c_tipopercepcion_056,056,"Previsión social, Art 93 fracciones VIII y IX LISR",2025-12-17,
c_tipopercepcion_057,057,"Premios por concursos científicos, artísticos, literarios u otorgados por la federación Art 93 fracción XXIV LISR",2026-06-12,
