id,code,name,date_start,date_end
c_tiporegimen_02,02,Sueldos (Incluye ingresos señalados en la fracción I del artículo 94 de LISR),2017-01-01,
c_tiporegimen_03,03,Jubilados,2017-01-01,
c_tiporegimen_04,04,Pensionados,2017-01-01,
c_tiporegimen_05,05,Asimilados Miembros Sociedades Cooperativas Produccion,2017-01-01,
c_tiporegimen_06,06,Asimilados Integrantes Sociedades Asociaciones Civiles,2017-01-01,
c_tiporegimen_07,07,Asimilados Miembros consejos,2017-01-01,
c_tiporegimen_08,08,Asimilados comisionistas,2017-01-01,
c_tiporegimen_09,09,Asimilados Honorarios,2017-01-01,
c_tiporegimen_10,10,Asimilados acciones,2017-01-01,
c_tiporegimen_11,11,Asimilados otros,2017-01-01,
c_tiporegimen_12,12,Jubilados o Pensionados,2017-03-27,
c_tiporegimen_13,13,Indemnización o Separación,2018-10-15,
c_tiporegimen_99,99,Otro Regimen,2017-01-01,
