id,tariff_id:id,lower_limit,upper_limit,fixed_fee,rate
isr_tariff_daily_2026_line_01,l10n_mx_isr.isr_tariff_daily_2026,0.01,27.78,0.00,1.92
isr_tariff_daily_2026_line_02,l10n_mx_isr.isr_tariff_daily_2026,27.79,235.81,0.53,6.40
isr_tariff_daily_2026_line_03,l10n_mx_isr.isr_tariff_daily_2026,235.82,414.41,13.85,10.88
isr_tariff_daily_2026_line_04,l10n_mx_isr.isr_tariff_daily_2026,414.42,481.73,33.28,16.00
isr_tariff_daily_2026_line_05,l10n_mx_isr.isr_tariff_daily_2026,481.74,576.76,44.05,17.92
isr_tariff_daily_2026_line_06,l10n_mx_isr.isr_tariff_daily_2026,576.77,1163.25,61.08,21.36
isr_tariff_daily_2026_line_07,l10n_mx_isr.isr_tariff_daily_2026,1163.26,1833.44,186.35,23.52
isr_tariff_daily_2026_line_08,l10n_mx_isr.isr_tariff_daily_2026,1833.45,3500.35,343.98,30.00
isr_tariff_daily_2026_line_09,l10n_mx_isr.isr_tariff_daily_2026,3500.36,4667.13,844.05,32.00
isr_tariff_daily_2026_line_10,l10n_mx_isr.isr_tariff_daily_2026,4667.14,14001.38,1217.42,34.00
isr_tariff_daily_2026_line_11,l10n_mx_isr.isr_tariff_daily_2026,14001.39,,4391.07,35.00
isr_tariff_weekly_2026_line_01,l10n_mx_isr.isr_tariff_weekly_2026,0.01,194.46,0.00,1.92
isr_tariff_weekly_2026_line_02,l10n_mx_isr.isr_tariff_weekly_2026,194.47,1650.67,3.71,6.40
isr_tariff_weekly_2026_line_03,l10n_mx_isr.isr_tariff_weekly_2026,1650.68,2900.87,96.95,10.88
isr_tariff_weekly_2026_line_04,l10n_mx_isr.isr_tariff_weekly_2026,2900.88,3372.11,232.96,16.00
isr_tariff_weekly_2026_line_05,l10n_mx_isr.isr_tariff_weekly_2026,3372.12,4037.32,308.35,17.92
isr_tariff_weekly_2026_line_06,l10n_mx_isr.isr_tariff_weekly_2026,4037.33,8142.75,427.56,21.36
isr_tariff_weekly_2026_line_07,l10n_mx_isr.isr_tariff_weekly_2026,8142.76,12834.08,1304.45,23.52
isr_tariff_weekly_2026_line_08,l10n_mx_isr.isr_tariff_weekly_2026,12834.09,24502.45,2407.86,30.00
isr_tariff_weekly_2026_line_09,l10n_mx_isr.isr_tariff_weekly_2026,24502.46,32669.91,5908.35,32.00
isr_tariff_weekly_2026_line_10,l10n_mx_isr.isr_tariff_weekly_2026,32669.92,98009.66,8521.94,34.00
isr_tariff_weekly_2026_line_11,l10n_mx_isr.isr_tariff_weekly_2026,98009.67,,30737.49,35.00
isr_tariff_ten_day_2026_line_01,l10n_mx_isr.isr_tariff_ten_day_2026,0.01,277.80,0.00,1.92
isr_tariff_ten_day_2026_line_02,l10n_mx_isr.isr_tariff_ten_day_2026,277.81,2358.10,5.30,6.40
isr_tariff_ten_day_2026_line_03,l10n_mx_isr.isr_tariff_ten_day_2026,2358.11,4144.10,138.50,10.88
isr_tariff_ten_day_2026_line_04,l10n_mx_isr.isr_tariff_ten_day_2026,4144.11,4817.30,332.80,16.00
isr_tariff_ten_day_2026_line_05,l10n_mx_isr.isr_tariff_ten_day_2026,4817.31,5767.60,440.50,17.92
isr_tariff_ten_day_2026_line_06,l10n_mx_isr.isr_tariff_ten_day_2026,5767.61,11632.50,610.80,21.36
isr_tariff_ten_day_2026_line_07,l10n_mx_isr.isr_tariff_ten_day_2026,11632.51,18334.40,1863.50,23.52
isr_tariff_ten_day_2026_line_08,l10n_mx_isr.isr_tariff_ten_day_2026,18334.41,35003.50,3439.80,30.00
isr_tariff_ten_day_2026_line_09,l10n_mx_isr.isr_tariff_ten_day_2026,35003.51,46671.30,8440.50,32.00
isr_tariff_ten_day_2026_line_10,l10n_mx_isr.isr_tariff_ten_day_2026,46671.31,140013.80,12174.20,34.00
isr_tariff_ten_day_2026_line_11,l10n_mx_isr.isr_tariff_ten_day_2026,140013.81,,43910.70,35.00
isr_tariff_fortnight_2026_line_01,l10n_mx_isr.isr_tariff_fortnight_2026,0.01,416.70,0.00,1.92
isr_tariff_fortnight_2026_line_02,l10n_mx_isr.isr_tariff_fortnight_2026,416.71,3537.15,7.95,6.40
isr_tariff_fortnight_2026_line_03,l10n_mx_isr.isr_tariff_fortnight_2026,3537.16,6216.15,207.75,10.88
isr_tariff_fortnight_2026_line_04,l10n_mx_isr.isr_tariff_fortnight_2026,6216.16,7225.95,499.20,16.00
isr_tariff_fortnight_2026_line_05,l10n_mx_isr.isr_tariff_fortnight_2026,7225.96,8651.40,660.75,17.92
isr_tariff_fortnight_2026_line_06,l10n_mx_isr.isr_tariff_fortnight_2026,8651.41,17448.75,916.20,21.36
isr_tariff_fortnight_2026_line_07,l10n_mx_isr.isr_tariff_fortnight_2026,17448.76,27501.60,2795.25,23.52
isr_tariff_fortnight_2026_line_08,l10n_mx_isr.isr_tariff_fortnight_2026,27501.61,52505.25,5159.70,30.00
isr_tariff_fortnight_2026_line_09,l10n_mx_isr.isr_tariff_fortnight_2026,52505.26,70006.95,12660.75,32.00
isr_tariff_fortnight_2026_line_10,l10n_mx_isr.isr_tariff_fortnight_2026,70006.96,210020.70,18261.30,34.00
isr_tariff_fortnight_2026_line_11,l10n_mx_isr.isr_tariff_fortnight_2026,210020.71,,65866.05,35.00
isr_tariff_monthly_2026_line_01,l10n_mx_isr.isr_tariff_monthly_2026,0.01,844.59,0.00,1.92
isr_tariff_monthly_2026_line_02,l10n_mx_isr.isr_tariff_monthly_2026,844.60,7168.51,16.22,6.40
isr_tariff_monthly_2026_line_03,l10n_mx_isr.isr_tariff_monthly_2026,7168.52,12598.02,420.95,10.88
isr_tariff_monthly_2026_line_04,l10n_mx_isr.isr_tariff_monthly_2026,12598.03,14644.64,1011.68,16.00
isr_tariff_monthly_2026_line_05,l10n_mx_isr.isr_tariff_monthly_2026,14644.65,17533.64,1339.14,17.92
isr_tariff_monthly_2026_line_06,l10n_mx_isr.isr_tariff_monthly_2026,17533.65,35362.83,1856.84,21.36
isr_tariff_monthly_2026_line_07,l10n_mx_isr.isr_tariff_monthly_2026,35362.84,55736.68,5665.16,23.52
isr_tariff_monthly_2026_line_08,l10n_mx_isr.isr_tariff_monthly_2026,55736.69,106410.50,10457.09,30.00
isr_tariff_monthly_2026_line_09,l10n_mx_isr.isr_tariff_monthly_2026,106410.51,141880.66,25659.23,32.00
isr_tariff_monthly_2026_line_10,l10n_mx_isr.isr_tariff_monthly_2026,141880.67,425641.99,37009.69,34.00
isr_tariff_monthly_2026_line_11,l10n_mx_isr.isr_tariff_monthly_2026,425642.00,,133488.54,35.00
isr_tariff_annual_2026_line_01,l10n_mx_isr.isr_tariff_annual_2026,0.01,10135.11,0,1.92
isr_tariff_annual_2026_line_02,l10n_mx_isr.isr_tariff_annual_2026,10135.12,86022.11,194.59,6.40
isr_tariff_annual_2026_line_03,l10n_mx_isr.isr_tariff_annual_2026,86022.12,151176.19,5051.37,10.88
isr_tariff_annual_2026_line_04,l10n_mx_isr.isr_tariff_annual_2026,151176.20,175735.66,12140.13,16.00
isr_tariff_annual_2026_line_05,l10n_mx_isr.isr_tariff_annual_2026,175735.67,210403.69,16069.64,17.92
isr_tariff_annual_2026_line_06,l10n_mx_isr.isr_tariff_annual_2026,210403.70,424353.97,22282.14,21.36
isr_tariff_annual_2026_line_07,l10n_mx_isr.isr_tariff_annual_2026,424353.98,668840.14,67981.92,23.52
isr_tariff_annual_2026_line_08,l10n_mx_isr.isr_tariff_annual_2026,668840.15,1276925.98,125485.07,30.00
isr_tariff_annual_2026_line_09,l10n_mx_isr.isr_tariff_annual_2026,1276925.99,1702567.97,307910.81,32.00
isr_tariff_annual_2026_line_10,l10n_mx_isr.isr_tariff_annual_2026,1702567.98,5107703.92,444116.23,34.00
isr_tariff_annual_2026_line_11,l10n_mx_isr.isr_tariff_annual_2026,5107703.93,,1601862.46,35.00
