"id","sequence","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","tax_exigibility","cash_basis_transition_account_id","include_base_amount","l10n_mx_tax_type","l10n_mx_factor_type","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/factor_percent","repartition_line_ids/account_id","repartition_line_ids/tag_ids","description@es","invoice_label@es"
"ish_0_sale","100","ISH (0%) VENTAS","","ISH(0%)","0.0","percent","sale","tax_group_ish","on_payment","cuenta119_09_01","","local","Tasa","","base","invoice","","","","","ISH(0%)"
"","","","","","","","","","","","","","","","tax","invoice","","cuenta603_49_001","","",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","","tax","refund","","cuenta603_49_001","","",""
"ish_0_purchase","101","ISH (0%) COMPRAS","","ISH(0%)","0.0","percent","purchase","tax_group_ish","on_payment","cuenta119_09_01","","local","Tasa","","base","invoice","","","","","ISH(0%)"
"","","","","","","","","","","","","","","","tax","invoice","","cuenta603_49_001","","",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","","tax","refund","","cuenta603_49_001","","",""
"ish_0_5_sale","102","ISH (0.5%) VENTAS","","ISH(0.5%)","0.5","percent","sale","tax_group_ish","on_payment","cuenta119_09_01","","local","Tasa","","base","invoice","","","","","ISH(0.5%)"
"","","","","","","","","","","","","","","","tax","invoice","","cuenta603_49_001","","",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","","tax","refund","","cuenta603_49_001","","",""
"ish_0_5_purchase","103","ISH (0.5%) COMPRAS","","ISH(0.5%)","0.5","percent","purchase","tax_group_ish","on_payment","cuenta119_09_01","","local","Tasa","","base","invoice","","","","","ISH(0.5%)"
"","","","","","","","","","","","","","","","tax","invoice","","cuenta603_49_001","","",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","","tax","refund","","cuenta603_49_001","","",""
"ish_1_sale","104","ISH (1%) VENTAS","","ISH(1%)","1.0","percent","sale","tax_group_ish","on_payment","cuenta119_09_01","","local","Tasa","","base","invoice","","","","","ISH(1%)"
"","","","","","","","","","","","","","","","tax","invoice","","cuenta603_49_001","","",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","","tax","refund","","cuenta603_49_001","","",""
